method,seed,w1,w2,w3,f1,f2,f3
random_search,0,1.0,0.0,0.0,0.08960000000000001,166506.0,9383498.0
random_search,0,0.6,0.2,0.2,0.10519999999999996,18746.0,575042.0
random_search,0,0.34,0.33,0.33,0.14439999999999997,5466.0,1184946.0
random_search,0,0.2,0.6,0.2,0.14649999999999996,5466.0,1184946.0
random_search,0,0.2,0.2,0.6,0.15049999999999997,5466.0,1184946.0
random_search,1,1.0,0.0,0.0,0.08560000000000001,182634.0,10640522.0
random_search,1,0.6,0.2,0.2,0.09499999999999997,19794.0,1135410.0
random_search,1,0.34,0.33,0.33,0.13470000000000004,10978.0,586714.0
random_search,1,0.2,0.6,0.2,0.17969999999999997,3634.0,407914.0
random_search,1,0.2,0.2,0.6,0.12649999999999995,10978.0,586714.0
random_search,2,1.0,0.0,0.0,0.0937,77290.0,7711402.0
random_search,2,0.6,0.2,0.2,0.10370000000000001,13058.0,1430642.0
random_search,2,0.34,0.33,0.33,0.12129999999999996,9738.0,1410978.0
random_search,2,0.2,0.6,0.2,0.18310000000000004,4474.0,794074.0
random_search,2,0.2,0.2,0.6,0.11109999999999998,9738.0,1410978.0
random_search,3,1.0,0.0,0.0,0.09689999999999999,123490.0,22436194.0
random_search,3,0.6,0.2,0.2,0.12939999999999996,10610.0,589178.0
random_search,3,0.34,0.33,0.33,0.12180000000000002,8546.0,896618.0
random_search,3,0.2,0.6,0.2,0.20509999999999995,3034.0,293434.0
random_search,3,0.2,0.2,0.6,0.11629999999999996,10610.0,589178.0
random_search,4,1.0,0.0,0.0,0.09250000000000003,76610.0,17843354.0
random_search,4,0.6,0.2,0.2,0.10260000000000002,22778.0,2870666.0
random_search,4,0.34,0.33,0.33,0.16910000000000003,6618.0,1046778.0
random_search,4,0.2,0.6,0.2,0.23040000000000005,1634.0,428714.0
random_search,4,0.2,0.2,0.6,0.15239999999999998,8338.0,714634.0
random_search,5,1.0,0.0,0.0,0.08699999999999997,112426.0,13220906.0
random_search,5,0.6,0.2,0.2,0.1159,10354.0,628922.0
random_search,5,0.34,0.33,0.33,0.11370000000000002,10354.0,628922.0
random_search,5,0.2,0.6,0.2,0.2318,2050.0,278794.0
random_search,5,0.2,0.2,0.6,0.12060000000000004,10354.0,628922.0
random_search,6,1.0,0.0,0.0,0.08350000000000002,259594.0,26367210.0
random_search,6,0.6,0.2,0.2,0.10560000000000003,12306.0,1542690.0
random_search,6,0.34,0.33,0.33,0.12639999999999996,4090.0,557698.0
random_search,6,0.2,0.6,0.2,0.15759999999999996,4090.0,557698.0
random_search,6,0.2,0.2,0.6,0.13449999999999995,4090.0,557698.0
random_search,7,1.0,0.0,0.0,0.0927,82522.0,15249130.0
random_search,7,0.6,0.2,0.2,0.125,16826.0,1210442.0
random_search,7,0.34,0.33,0.33,0.17500000000000004,6010.0,583690.0
random_search,7,0.2,0.6,0.2,0.18820000000000003,6010.0,583690.0
random_search,7,0.2,0.2,0.6,0.17720000000000002,6010.0,583690.0
random_search,8,1.0,0.0,0.0,0.08499999999999996,81050.0,6421786.0
random_search,8,0.6,0.2,0.2,0.1058,12834.0,924146.0
random_search,8,0.34,0.33,0.33,0.1069,12834.0,924146.0
random_search,8,0.2,0.6,0.2,0.1642,5698.0,681418.0
random_search,8,0.2,0.2,0.6,0.12050000000000005,12834.0,924146.0
random_search,9,1.0,0.0,0.0,0.08750000000000002,507562.0,40262890.0
random_search,9,0.6,0.2,0.2,0.11580000000000001,9786.0,1561938.0
random_search,9,0.34,0.33,0.33,0.12519999999999998,9786.0,1561938.0
random_search,9,0.2,0.6,0.2,0.16059999999999997,6434.0,1710074.0
random_search,9,0.2,0.2,0.6,0.12270000000000003,9786.0,1561938.0
lenet5_approx,0,0.0,0.0,0.0,0.1713,5210.0,795194.0
lenet5_approx,1,0.0,0.0,0.0,0.15880000000000005,5210.0,795194.0
lenet5_approx,2,0.0,0.0,0.0,0.17179999999999995,5210.0,795194.0
lenet5_approx,3,0.0,0.0,0.0,0.1481,5210.0,795194.0
lenet5_approx,4,0.0,0.0,0.0,0.1725,5210.0,795194.0
lenet5_approx,5,0.0,0.0,0.0,0.1703,5210.0,795194.0
lenet5_approx,6,0.0,0.0,0.0,0.1492,5210.0,795194.0
lenet5_approx,7,0.0,0.0,0.0,0.1834,5210.0,795194.0
lenet5_approx,8,0.0,0.0,0.0,0.15569999999999995,5210.0,795194.0
lenet5_approx,9,0.0,0.0,0.0,0.15300000000000002,5210.0,795194.0
